"TOA5","CEMEDE","CR1000","52141","CR1000.Std.25","CPU:ET107_034B.CR1","58299","VW_Hourly"
"TIMESTAMP","RECORD","BattVolt_Max","BattVolt_Min","Encl_RH_Max","Encl_RH_Min","LogrTmpC_Max","LogrTmpC_Min","WindSpd_ms_Max","WindSpd_ms_Avg","WindDir_Avg","Rain_mm_Tot","AirTempC_Avg","AirTempC_Max","AirTempC_Min","RelHum_Avg","RelHum_Max","RelHum_Min","SlrRad_W_Avg","SlrRad_W_Max","DewPntC_Max","DewPntC_Min","WindChilC_Max","WindChilC_Min","HeatIndxC_Max","HeatIndxC_Min"
"TS","RN","","","","","","","","","Deg","","","","","","","","","","","","","","",""
"","","Max","Min","Max","Min","Max","Min","Max","WVc","WVc","Tot","Avg","Max","Min","Avg","Max","Min","Avg","Max","Max","Min","Max","Min","Max","Min"
"2015-09-23 17:00:00",0,13.22,13.12,93.2,87.4,26.41,26.01,1.24,0.074,1.271,0,25.68,26.12,-36.47,83.5,85.1,3.937,42.25,59.46,23.33,-64.26,26.12,-36.47,26.12,-36.47
"2015-09-23 18:00:00",1,13.22,12.84,87.4,77.09,25.98,24.92,0.761,0.014,2.378,0,25.42,25.91,24.96,87.8,89.8,84.6,9.93,31.74,23.52,22.96,25.91,24.96,25.91,24.96
"2015-09-23 19:00:00",2,12.85,12.79,77.77,74.3,24.92,24.04,2.518,0.34,4.273,0,24.67,25.02,24.27,90.5,91.2,89.6,0,0,23.37,22.57,25.02,24.27,25.02,24.27
"2015-09-23 20:00:00",3,12.8,12.77,74.43,72.61,24.04,23.32,0.92,0.079,4.877,0,23.93,24.34,23.47,91.5,92,90.9,0,0,22.86,22.04,24.34,23.47,24.34,23.47
"2015-09-23 21:00:00",4,12.78,12.76,72.75,71.8,23.32,22.98,0.761,0.041,5.087,0,23.38,23.58,23.24,92.2,92.8,91.6,0.007,0.201,22.31,21.91,23.58,23.24,23.58,23.24
"2015-09-23 22:00:00",5,12.77,12.74,71.87,71.05,22.98,22.75,0.761,0.045,5.15,0,23.25,23.34,23.13,92.6,92.9,92.2,0.013,0.201,22.15,21.86,23.34,23.13,23.34,23.13
"2015-09-23 23:00:00",6,12.76,12.73,71.25,70.64,22.75,22.45,0.92,0.056,5.171,0,22.99,23.17,22.8,92.9,93.2,92.3,0.019,0.201,21.96,21.62,23.17,22.8,23.17,22.8
"2015-09-24 00:00:00",7,12.75,12.72,70.91,70.23,22.5,22.45,0.441,0.002,5.22,0,22.89,23,22.76,93.2,93.5,93,0.031,0.201,21.9,21.61,23,22.76,23,22.76
"2015-09-24 01:00:00",8,12.73,12.7,70.37,69.89,22.45,22.36,0.92,0.069,5.2,0,22.73,22.86,22.66,93,93.3,92.7,0.025,0.201,21.74,21.48,22.86,22.66,22.86,22.66
"2015-09-24 02:00:00",9,12.72,12.68,70.23,69.41,22.45,22.36,0.92,0.034,5.168,0,22.75,22.86,22.66,93,93.3,92.7,0.011,0.201,21.73,21.44,22.86,22.66,22.86,22.66
"2015-09-24 03:00:00",10,12.7,12.66,69.62,69.28,22.42,22.33,0.601,0.007,5.277,0,22.74,22.83,22.66,93.2,93.3,93,0.026,0.201,21.68,21.5,22.83,22.66,22.83,22.66
"2015-09-24 04:00:00",11,12.67,12.64,69.55,69.21,22.33,22,0.001,0.001,5.358,0,22.54,22.76,22.42,93.2,93.6,92.9,0.017,0.201,21.6,21.28,22.76,22.42,22.76,22.42
"2015-09-24 05:00:00",12,12.65,12.62,69.62,68.93,22.19,22.08,0.441,0.012,5.3,0,22.55,22.69,22.46,93.3,93.5,93.1,0.018,0.201,21.58,21.32,22.69,22.46,22.69,22.46
"2015-09-24 06:00:00",13,13.22,12.61,69.1,68.59,22.5,22.19,0.761,0.053,5.318,0,22.67,22.9,22.52,93.4,93.6,93.3,15.56,58.07,21.78,21.42,22.9,22.52,22.9,22.52
"2015-09-24 07:00:00",14,13.28,13.22,68.59,65.1,24.16,22.5,1.08,0.046,5.61,0,23.74,24.9,22.86,91.5,93.4,86.7,131.4,278.3,22.89,21.73,24.9,22.86,24.9,22.86
"2015-09-24 08:00:00",15,13.25,13.18,65.1,60.39,27.72,24.16,1.719,0.151,1.643,0,27.05,28.16,24.76,80,87.5,73,348.2,603.3,24.67,22.42,28.16,24.76,32.4,24.76
"2015-09-24 09:00:00",16,13.2,13.15,63.1,59.59,30.09,27.63,2.039,0.294,0.975,0,27.92,29.91,26.92,74.03,77.28,67.19,443.4,867,24.1,22.23,29.91,26.92,34.4,29.25
"2015-09-24 10:00:00",17,13.16,13.1,59.87,58.24,33.06,30.09,2.359,0.547,1.155,0,31.46,32.37,29.84,61.18,70.15,55.92,836,1068,24.22,22.05,32.37,29.84,37.86,34.33
