		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
03/09/17	11:54 a	32.7	32.8	32.7	46	19.6	6.4	ENE	3.22	9.7	E	32.7	35.2	35.2	756.8	0.00	0.0	0.000	0.300	34.5	46	21.2	38.6	8.27	1.1147	12	1	1.8	30
03/09/17	11:55 a	32.8	32.8	32.7	46	19.6	6.4	E	3.22	8.0	NNW	32.8	35.3	35.3	756.8	0.00	0.0	0.000	0.301	34.5	45	20.8	38.3	8.15	1.1153	20	1	2.9	30
03/09/17	11:56 a	32.9	32.9	32.8	46	19.7	3.2	SE	1.61	4.8	ESE	32.9	35.5	35.5	756.8	0.00	0.0	0.000	0.303	34.6	45	20.9	38.6	8.15	1.1148	23	1	3.4	30
03/09/17	11:57 a	33.0	33.0	32.9	45	19.5	8.0	E	4.02	12.9	E	33.0	35.4	35.4	756.9	0.00	0.0	0.000	0.306	34.7	44	20.6	38.4	7.96	1.1151	24	1	3.5	30
03/09/17	12:30 p	32.5	32.7	31.8	52	21.4	8.0	NNE	4.02	17.7	NE	32.5	36.2	36.2	756.4	0.00	0.0	0.000	0.295	35.9	45	22.1	41.3	8.12	1.1074	514	1	75.1	30
03/09/17	1:00 p	32.9	32.9	31.6	50	21.1	8.0	NNE	4.02	20.9	NNW	32.9	36.4	36.4	755.9	0.00	0.0	0.000	0.303	36.6	44	22.4	42.6	7.89	1.1036	694	1	100.0	30
03/09/17	1:30 p	33.1	33.3	32.3	43	18.9	8.0	ESE	4.02	25.7	SE	33.1	35.2	35.2	755.6	0.00	0.0	0.000	0.308	37.0	40	21.2	41.9	7.25	1.1039	702	1	100.0	30
03/09/17	2:00 p	33.8	34.2	33.1	44	19.9	6.4	E	3.22	19.3	NE	33.8	36.7	36.7	755.1	0.00	0.0	0.000	0.323	37.5	38	20.8	42.0	6.96	1.1021	696	1	100.0	30
03/09/17	2:30 p	32.1	33.8	32.0	48	19.7	11.3	SE	5.63	27.4	ESE	32.1	34.4	34.4	754.9	0.00	0.0	0.000	0.286	37.1	40	21.2	42.0	7.25	1.1025	700	1	100.0	30
