		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
06/30/16	1:00 a	27.1	27.2	26.1	81	23.6	1.6	NNE	1.61	12.9	NNE	27.1	30.2	30.2	745.5	0.00	0.0	0.000	0.366	22.1	36	6.3	20.7	7.18	1.1623	1127	1	82.4	60
06/30/16	2:00 a	25.3	27.2	25.3	89	23.4	0.0	WNW	0.00	4.8	WNW	25.3	27.8	27.8	745.2	0.00	0.0	0.000	0.292	22.0	38	7.0	20.7	7.49	1.1615	1119	1	81.8	60
06/30/16	3:00 a	26.1	26.1	25.1	84	23.1	1.6	NNW	1.61	8.0	NNE	26.1	28.6	28.6	744.7	0.00	0.0	0.000	0.322	21.9	37	6.5	20.5	7.32	1.1614	1132	1	82.7	60
06/30/16	4:00 a	25.4	26.7	25.4	89	23.5	1.6	WNW	1.61	9.7	N	25.4	27.9	27.9	744.8	0.00	0.0	0.000	0.296	22.1	40	7.9	21.0	7.71	1.1596	1134	1	82.9	60
06/30/16	5:00 a	25.2	25.4	25.1	90	23.4	0.0	N	0.00	9.7	ESE	25.2	27.5	27.5	744.8	0.00	0.0	0.000	0.285	21.7	37	6.3	20.2	7.33	1.1626	1112	1	81.3	60
06/30/16	6:00 a	26.7	26.7	25.1	84	23.8	1.6	N	1.61	14.5	NNW	26.7	29.8	29.8	745.3	0.00	0.0	0.000	0.350	21.4	39	6.9	20.0	7.64	1.1638	1139	1	83.3	60
06/30/16	7:00 a	28.4	28.5	26.8	78	24.2	4.8	N	4.83	17.7	WNW	28.4	33.1	33.1	745.6	0.00	0.0	0.000	0.421	22.0	44	9.2	21.1	8.32	1.1601	1167	1	85.3	60
06/30/16	8:00 a	29.2	29.6	28.1	74	24.1	4.8	N	4.83	20.9	NNE	29.2	34.2	34.2	745.7	0.00	0.0	0.000	0.454	22.0	39	7.4	20.8	7.62	1.1620	1172	1	85.7	60
06/30/16	9:00 a	29.9	30.6	29.3	71	24.1	6.4	N	6.44	19.3	NNE	29.9	35.2	35.2	745.7	0.00	0.0	0.000	0.484	22.9	43	9.6	22.3	8.12	1.1565	1173	1	85.7	60
06/30/16	10:00 a	31.3	31.3	29.4	69	25.0	8.0	N	8.05	22.5	N	31.3	37.7	37.7	745.4	0.00	0.0	0.000	0.542	23.7	41	9.7	23.3	7.76	1.1526	1150	1	84.1	60
06/30/16	11:00 a	32.1	32.3	31.3	65	24.7	8.0	N	8.05	22.5	W	32.1	39.0	39.0	745.4	0.00	0.0	0.000	0.574	24.4	41	10.3	24.0	7.75	1.1492	986	1	72.1	60
06/30/16	12:00 p	31.7	32.3	31.4	67	24.8	6.4	N	6.44	17.7	NNE	31.7	38.2	38.2	745.2	0.00	0.0	0.000	0.556	24.8	39	9.9	24.3	7.52	1.1478	1107	1	80.9	60
06/30/16	1:00 p	32.4	32.4	31.7	67	25.5	4.8	NNW	4.83	16.1	WNW	32.4	40.7	40.7	744.8	0.00	0.0	0.000	0.588	25.6	39	10.6	25.0	7.49	1.1437	1114	1	81.4	60
06/30/16	2:00 p	33.1	33.1	31.6	63	25.1	6.4	N	6.44	19.3	NNE	33.1	40.9	40.9	744.0	0.00	0.0	0.000	0.613	25.3	34	8.3	24.6	6.70	1.1458	1114	1	81.4	60
06/30/16	3:00 p	32.2	33.0	31.6	64	24.5	6.4	N	6.44	19.3	N	32.2	38.8	38.8	743.6	0.00	0.0	0.000	0.576	25.6	34	8.5	24.8	6.69	1.1438	1133	1	82.8	60
06/30/16	4:00 p	31.2	32.2	31.2	65	23.9	8.0	NNW	8.05	25.7	NW	31.2	36.3	36.3	743.8	0.00	0.0	0.000	0.537	25.9	35	9.3	25.2	6.88	1.1423	1176	1	86.0	60
06/30/16	5:00 p	30.1	31.2	29.9	70	24.0	6.4	NNW	6.44	22.5	N	30.1	35.3	35.3	744.1	0.00	0.0	0.000	0.488	25.4	33	8.0	24.7	6.55	1.1455	1189	1	86.9	60
06/30/16	6:00 p	29.1	30.1	29.1	73	23.8	3.2	N	3.22	14.5	N	29.1	33.8	33.8	744.6	0.00	0.0	0.000	0.449	24.9	31	6.6	24.3	6.21	1.1494	1265	1	92.5	60
06/30/16	7:00 p	27.4	29.1	27.4	82	24.0	0.0	NW	0.00	4.8	NW	27.4	31.0	31.0	745.6	0.00	0.0	0.000	0.377	25.6	36	9.4	24.9	6.99	1.1462	1236	1	90.4	60
06/30/16	8:00 p	27.7	27.7	26.9	78	23.5	1.6	NW	1.61	8.0	NNW	27.7	31.1	31.1	746.0	0.00	0.0	0.000	0.389	26.0	39	11.0	25.5	7.47	1.1436	1244	1	90.9	60
06/30/16	9:00 p	27.2	28.1	27.1	82	23.9	3.2	NW	3.22	12.9	WNW	27.2	30.6	30.6	746.2	0.00	0.0	0.000	0.370	26.2	41	11.9	25.8	7.75	1.1423	1281	1	93.6	60
06/30/16	10:00 p	27.3	27.3	27.2	81	23.7	3.2	N	3.22	9.7	NW	27.3	30.6	30.6	746.5	0.00	0.0	0.000	0.373	26.3	42	12.3	25.9	7.86	1.1419	1287	1	94.1	60
06/30/16	11:00 p	24.7	27.3	24.7	96	24.0	1.6	NW	1.61	19.3	NW	24.7	27.1	27.1	746.7	6.10	86.6	0.000	0.264	26.3	43	12.7	26.0	8.05	1.1417	1268	1	92.7	60
07/01/16	12:00 a	24.7	24.7	24.6	97	24.2	0.0	WSW	0.00	3.2	WSW	24.7	27.1	27.1	745.8	0.51	1.5	0.000	0.264	26.2	43	12.7	25.9	8.05	1.1407	1264	1	92.4	60
07/01/16	1:00 a	24.6	24.7	24.6	97	24.0	0.0	---	0.00	0.0	---	24.6	26.9	26.9	745.8	0.25	0.0	0.000	0.259	26.2	43	12.6	25.9	8.05	1.1409	1236	1	90.4	60
07/01/16	2:00 a	24.8	25.0	24.5	92	23.4	1.6	N	1.61	12.9	N	24.8	27.1	27.1	745.3	1.52	6.1	0.000	0.271	26.2	44	13.0	25.9	8.17	1.1397	1258	1	92.0	60
07/01/16	3:00 a	24.1	24.8	24.1	94	23.0	1.6	N	1.61	8.0	NNW	24.1	26.1	26.1	745.1	1.27	6.1	0.000	0.238	26.1	45	13.2	25.9	8.37	1.1393	1223	1	89.4	60
07/01/16	4:00 a	23.8	24.1	23.7	97	23.3	0.0	N	0.00	4.8	N	23.8	25.8	25.8	745.1	0.00	0.0	0.000	0.227	26.1	45	13.2	25.9	8.37	1.1396	1266	1	92.5	60
07/01/16	5:00 a	24.2	24.3	23.7	96	23.5	0.0	ENE	0.00	8.0	NNE	24.2	26.4	26.4	745.6	0.00	0.0	0.000	0.245	26.0	45	13.1	25.8	8.37	1.1407	1225	1	89.5	60
07/01/16	6:00 a	24.4	24.4	24.2	97	23.9	1.6	N	1.61	6.4	N	24.4	26.7	26.7	746.2	0.00	0.0	0.000	0.255	26.0	46	13.5	25.9	8.47	1.1412	1227	1	89.7	60
07/01/16	7:00 a	25.4	25.5	24.4	95	24.6	0.0	SW	0.00	1.6	SW	25.4	28.3	28.3	746.8	0.00	0.0	0.000	0.296	26.0	46	13.5	25.9	8.47	1.1421	1252	1	91.5	60
