Date,Time,TempOut,HiTemp,LowTemp,OutHum,DewPt.,WindSpeed,WindDir,WindRun,HiSpeed,HiDir,WindChill,HeatIndex,THWIndex,THSWIndex,Bar  ,Rain,RainRate,SolarRad.,SolarEnergy,Hi SolarRad. ,UV Index,UV Dose,Hi UV ,HeatD-D ,CoolD-D ,In Temp,InHum,In Dew,In Heat,In EMC,In AirDensity,ET ,WindSamp,WindTx ,ISS Recept,Arc.Int.
5/12/14,10:00 AM,30.1,30.1,29.7,71,24.3,3.2,WNW,1.61,14.5,WNW,30.1,35.6,35.6,---,747.2,0,0,718,30.88,766,---,---,---,0,0.245,22.2,45,9.7,21.4,8.45,1.1614,0.46,706,1,100,30
5/12/14,12:00 PM,31.9,32.3,31.3,63,24,8,ESE,8.05,27.4,ENE,31.9,37.8,37.8,---,746.6,0,0,958,82.4,1236,---,---,---,0,0.567,23,42,9.4,22.4,7.98,1.1577,0.66,1391,1,100,60
5/12/14,1:00 PM,30.6,31.9,29.8,67,23.7,6.4,ESE,6.44,24.1,SSE,30.6,35.8,35.8,---,746,0,0,421,36.21,817,---,---,---,0,0.509,22.8,42,9.2,22.2,7.99,1.1575,0.36,1400,1,100,60
5/12/14,2:00 PM,30.3,30.6,29.1,69,24,6.4,ESE,6.44,24.1,SE,30.3,35.7,35.7,---,745.6,0,0,334,28.73,861,---,---,---,0,0.5,22.6,42,9,21.9,8,1.1579,0.28,1403,1,100,60
5/12/14,3:00 PM,30.6,31.1,29.5,68,24,6.4,ESE,6.44,29,SE,30.6,35.9,35.9,---,745,0,0,462,39.74,826,---,---,---,0,0.509,22.8,41,8.8,22.1,7.83,1.1565,0.36,1401,1,100,60
5/12/14,4:00 PM,29.9,30.7,29.1,67,23.1,4.8,ESE,4.83,20.9,SE,29.9,34.3,34.3,---,745,0,0,278,23.91,643,---,---,---,0,0.481,23.4,44,10.5,23.1,8.27,1.1523,0.23,1398,1,100,60
5/12/14,5:00 PM,28,29.9,28,72,22.5,8,ESE,8.05,22.5,S,28,30.9,30.9,---,745.1,0,0,101,8.69,260,---,---,---,0,0.403,22.8,42,9.2,22.2,7.99,1.1561,0.1,1401,1,100,60
5/12/14,6:00 PM,27.5,28,26.8,74,22.4,3.2,E,3.22,17.7,E,27.5,30.1,30.1,---,746,0,0,3,0.26,16,---,---,---,0,0.382,22.8,44,9.9,22.2,8.29,1.1571,0.03,1398,1,100,60
5/12/14,7:00 PM,27.3,27.6,27.2,74,22.2,6.4,ESE,6.44,27.4,SE,27.3,29.7,29.7,---,746.7,0,0,0,0,0,---,---,---,0,0.373,22.3,43,9.1,21.4,8.17,1.161,0.05,1398,1,100,60
5/12/14,8:00 PM,27.1,27.3,27.1,76,22.5,6.4,ESE,6.44,27.4,ESE,27.1,29.6,29.6,---,747.4,0,0,0,0,0,---,---,---,0,0.366,22.6,46,10.4,22.1,8.6,1.1594,0.05,1401,1,100,60
5/12/14,9:00 PM,27.1,27.2,27.1,75,22.3,6.4,ESE,6.44,25.7,SE,27.1,29.4,29.4,---,747.6,0,0,0,0,0,---,---,---,0,0.366,22.3,44,9.4,21.5,8.31,1.162,0.05,1400,1,100,60
5/12/14,10:00 PM,26.6,27.1,26.4,76,22,3.2,SE,3.22,20.9,E,26.6,28.7,28.7,---,747.9,0,0,0,0,0,---,---,---,0,0.345,22.3,44,9.4,21.5,8.31,1.1625,0.03,1401,1,100,60
